location,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi
lat,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986
lon,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579
asl,216.200,216.200,216.200,216.200,216.200,216.200,216.200,216.200
variable,Temperature,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Shortwave Radiation,Wind Speed,Wind Direction,Geopotential Height
unit,°C,hPa,mm,%,W/m²,km/h,°,Gpm
level,2 m elevation corrected,MSL,sfc,sfc,sfc,10 m,10 m,1000 mb
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None
timestamp,New Delhi Temperature [2 m elevation corrected],New Delhi Mean Sea Level Pressure [MSL],New Delhi Precipitation Total,New Delhi Cloud Cover Total,New Delhi Shortwave Radiation,New Delhi Wind Speed [10 m],New Delhi Wind Direction [10 m],New Delhi Geopotential Height [1000 mb]
20200916T0800,32.837303,1004.2,0.0,0.0,357.78,4.452954,165.96376,33.0
20200916T0900,34.4673,1005.2,0.0,0.0,542.01,4.68,180.0,41.0
20200916T1000,35.657303,1004.4,0.0,0.0,692.42,4.6938257,212.47119,34.0
20200916T1100,36.727303,1003.5,0.0,10.0,784.98,3.96,270.0,25.0
20200916T1200,37.8273,1002.1,0.0,0.0,829.48,7.8954163,313.1524,12.0
20200916T1300,38.767303,1001.5,0.0,0.0,831.26,10.086427,325.1755,6.0
20200916T1400,39.3773,1000.5,0.0,0.0,759.17,10.990322,328.39252,-2.0
20200916T1500,39.727303,999.7,0.0,0.0,634.57,10.799999,323.13013,-10.0
20200916T1600,39.7373,999.5,0.0,0.0,467.25,9.957108,319.3987,-12.0
20200916T1700,39.4673,999.5,0.0,0.0,269.66998,8.161764,318.57635,-12.0
20200916T1800,38.1473,999.9,0.0,0.0,66.75,10.08,360.0,-7.0
20200916T1900,36.8473,1000.5,0.0,0.0,0.0,6.9899354,11.888657,-1.0
20200916T2000,35.387302,1001.6,0.0,0.0,0.0,2.5455842,44.999985,9.0
20200916T2100,34.137302,1002.6,0.0,0.0,0.0,3.8268526,131.18591,18.0
20200916T2200,33.4673,1002.7,0.0,0.0,0.0,6.0347,162.64597,19.0
20200916T2300,32.7573,1002.7,0.0,0.0,0.0,6.8399997,180.0,19.0
