"Point_ID,N,9,0","Coarse,N,9,0","Clay,N,9,0","Sand,N,9,0","Silt,N,9,0","pH_CaCl2,N,24,2","pH_H20,N,24,2","EC,N,24,2","OC,N,24,2","CaCO3,N,9,0","P,N,24,2","N,N,24,2","K,N,24,2","LC,C,80","LU,C,80","NUTS_0,C,80","NUTS_1,C,80","NUTS_2,C,80","NUTS_3,C,80","LC0_Desc,C,80","LC1_Desc,C,80","LU1_Desc,C,80"
26581768,0,0,0,0,6.9,7.24,18.14,24.6,34,24.3,2.9,245.6,E20,U111,PT,PT1,PT15,PT150,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26581792,0,0,0,0,5.4,5.81,14.81,21.9,0,3.4,2.3,150,D20,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland without tree cover,Abandoned areas
26581954,0,0,0,0,7,7.29,28.1,18.4,46,56.5,2.1,505.2,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
26601784,0,0,0,0,4.4,5.17,5.37,48,0,5.6,3.3,103.8,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
26601978,0,0,0,0,7.1,7.38,21.6,25.2,0,7.2,2.1,174.6,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
26701780,0,0,0,0,4.4,5.06,6.69,16.4,0,0,1.9,74.4,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
26702014,0,0,0,0,5.5,5.92,6.08,14.2,0,9.4,1.1,126.8,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
26741814,0,0,0,0,4.9,5.64,6.85,16.8,0,28.1,1.7,103.8,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26741986,0,0,0,0,7.4,7.95,20.8,8.2,285,14,1.1,240.2,B82,U111,PT,PT1,PT16,PT16B,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
26761768,0,0,0,0,7.1,7.56,18.84,38.9,70,49.2,3.8,645.2,E10,U111,PT,PT1,PT15,PT150,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26761786,0,0,0,0,4.3,4.93,4.38,26.3,0,4.2,2,80.4,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
26761804,0,0,0,0,4.8,5.49,7.84,18.7,2,5.3,1.4,49.5,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
26761864,0,0,0,0,4.3,5.25,3.88,6.3,0,0,0.4,56.6,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
26761998,0,0,0,0,4.1,4.65,4.11,14.4,0,0,0.6,27.7,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
26762002,0,0,0,0,6.4,6.66,3.86,3.4,1,8.6,0.4,88.2,B72,U111,PT,PT1,PT16,PT16B,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
26781816,0,0,0,0,4.1,5.27,4.54,25.9,0,0,2.2,86.9,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
26802028,0,0,0,0,6.1,6.53,4.46,4.7,0,6.1,0.4,26.6,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
26821846,0,0,0,0,4.8,5.37,8.2,19.4,0,9.8,2.4,75.7,E10,U111,PT,PT1,PT18,PT181,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26841758,0,0,0,0,7.3,7.75,21.5,37.3,11,6.7,1.2,176.3,F40,U112,PT,PT1,PT15,PT150,Bareland,Other bare soil,Fallow land
26841764,0,0,0,0,7.4,7.56,24.9,50,148,12.4,3.9,736.9,B84,U111,PT,PT1,PT15,PT150,Cropland,Permanent industrial crops,Agriculture (excluding fallow land and kitchen gardens)
26841826,0,0,0,0,6.5,6.6,19.95,15.6,9,11.7,1.7,79.3,F40,U111,PT,PT1,PT18,PT181,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
26841836,0,0,0,0,5.3,5.86,17.04,34.3,0,13.1,3.7,139.7,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26841944,0,0,0,0,6.1,6.48,3.58,5.7,0,31.2,0.6,24.3,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
26881938,0,0,0,0,4.9,5.59,6.92,17.6,0,9.6,1.4,92.8,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
26921850,0,0,0,0,5.5,5.84,8.34,12.1,0,7.2,1.2,59.4,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26921874,0,0,0,0,5.6,5.97,4.49,20.4,0,5,1.7,167.5,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
26921896,0,0,0,0,4.4,5.2,1.71,2.9,0,0,0.2,13.6,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
26941804,0,0,0,0,5.3,5.91,4.7,20.5,0,4.1,2,196.7,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
26941810,0,0,0,0,4.4,5.13,5.32,25,0,4.1,2.2,101.7,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
26942016,0,0,0,0,4.2,4.85,5.41,15.3,0,5,1.1,37.3,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
26961834,0,0,0,0,5.1,5.62,3.82,13.7,0,4.1,1.2,73.4,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
26962018,0,0,0,0,5.3,5.73,14.89,33.6,0,5,2,116.1,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
27001846,0,0,0,0,4.8,5.45,2.05,4.2,0,4.1,0.4,22,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
27001864,0,0,0,0,5.2,5.79,4.92,24.6,0,5,1.9,93.9,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
27001882,0,0,0,0,4.7,5.09,11.4,7.6,0,42.1,0.7,34.7,B41,U111,PT,PT1,PT18,PT181,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
27001894,0,0,0,0,4.6,5.36,1.92,2.9,0,5.8,0.2,15.1,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
27001936,0,0,0,0,6.1,6.42,4.16,6.4,0,22.5,0.7,46.5,F40,U112,PT,PT1,PT17,PT170,Bareland,Other bare soil,Fallow land
27002038,0,0,0,0,6.7,7.05,13.8,9.2,2,46.7,0.9,139.2,B72,U111,PT,PT1,PT16,PT16B,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
27021938,0,0,0,0,3.6,4.28,3.19,9.4,0,6.6,0.4,23.1,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
27022016,0,0,0,0,5.2,5.89,7,18.9,0,4.8,1.7,134.5,C10,U120,PT,PT1,PT18,PT185,Woodland,Broadleaved woodland,Forestry
27041840,0,0,0,0,4.3,5.11,2.89,4.7,0,11.9,0.6,22.7,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27041876,0,0,0,0,4.5,5.41,2.17,7.1,0,4.7,0.6,196.4,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27061758,0,0,0,0,7.6,8.01,18.62,3.9,695,5.9,1.8,418.8,B74,U111,PT,PT1,PT15,PT150,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
27061888,0,0,0,0,5.1,5.75,5.3,11.2,0,5.3,0.9,72.1,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
27061970,0,0,0,0,6,6.3,10.56,3.7,0,58.4,0.5,45.9,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
27081828,0,0,0,0,5,5.54,4.69,12.1,0,5.5,1.4,43,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
27101760,0,0,0,0,7.5,7.92,16.2,14.4,14,13.5,1.7,169.4,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27101814,0,0,0,0,5.2,5.74,4.14,12.8,0,5.3,1.7,99.9,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
27101892,0,0,0,0,4.8,5.53,1.56,4.3,0,0,0.3,13.3,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
27101940,0,0,0,0,5.5,5.81,3.97,10.3,0,17,1,59.7,F40,U112,PT,PT1,PT17,PT170,Bareland,Other bare soil,Fallow land
27101964,0,0,0,0,6.1,6.37,12.31,4.2,0,33.9,0.5,60.8,B42,U111,PT,PT1,PT18,PT185,Cropland,Tomatoes,Agriculture (excluding fallow land and kitchen gardens)
27102048,0,0,0,0,4.8,5.54,2.87,3.5,2,0,0.3,76.7,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
27121756,0,0,0,0,7.4,7.89,15.72,19.9,744,54.1,2.1,104.6,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
27122016,0,0,0,0,7,7.23,21.8,18.7,8,7.2,1.9,139.3,B81,U111,PT,PT1,PT18,PT185,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27141834,0,0,0,0,5,5.47,5.19,8.3,0,6.4,0.8,46.8,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27161812,0,0,0,0,6.2,6.52,15.9,15.9,0,13.4,2,27.2,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27162028,0,0,0,0,7.2,7.56,17.74,27.9,357,7.3,3.1,393.7,B81,U111,PT,PT1,PT16,PT16F,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27181846,0,0,0,0,5.3,5.72,5.35,5.9,0,13,0.7,80.1,B81,U111,PT,PT1,PT18,PT181,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27181912,0,0,0,0,6,6.11,9.11,20.8,0,5.3,1.6,85.5,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
27182008,0,0,0,0,6.6,6.86,9.43,18.3,2,4.2,1.9,229.8,E10,U111,PT,PT1,PT18,PT185,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27201772,0,0,0,0,6.4,6.57,18.13,22.3,3,0,1.9,144.3,C10,U120,PT,PT1,PT15,PT150,Woodland,Broadleaved woodland,Forestry
27201962,0,0,0,0,4.2,4.96,3.84,13.5,0,5,0.9,37.1,C32,U120,PT,PT1,PT18,PT185,Woodland,Pine dominated mixed woodland,Forestry
27202006,0,0,0,0,7.3,7.58,16.61,11.7,338,20.7,1.9,156.5,B43,U111,PT,PT1,PT18,PT185,Cropland,Other fresh vegetables,Agriculture (excluding fallow land and kitchen gardens)
27202042,0,0,0,0,7.2,7.75,18.87,10,389,13.5,1.3,154.2,E20,U111,PT,PT1,PT16,PT16F,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27221750,0,0,0,0,7.1,7.36,20.8,24.4,551,6.4,1.5,237.4,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
27221804,0,0,0,0,5.7,6.08,6.44,11,0,5.5,1.2,42,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27221822,0,0,0,0,5.9,6.15,7.57,15,1,15.2,1.5,172.3,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
27221858,0,0,0,0,4.6,5.24,4.03,7.4,0,8.2,0.8,63.4,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27241758,0,0,0,0,7.5,7.89,23,15.4,686,8.7,2,262.6,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27241816,0,0,0,0,4.7,5.17,12.5,23.1,0,11.7,1.8,80.1,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27241888,0,0,0,0,4.8,5.43,4.2,10.2,0,4.8,1.1,92.8,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
27241916,0,0,0,0,6,6.29,8.4,27.4,0,8,2.3,137,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
27241992,0,0,0,0,7.4,7.89,32.8,11.4,19,28.6,1.3,114.7,B82,U111,PT,PT1,PT18,PT185,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
27242050,0,0,0,0,7.2,7.45,23,17.8,0,25.9,1.2,124.8,E20,U111,PT,PT1,PT16,PT16F,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27242068,0,0,0,0,5.4,5.92,8.95,5.5,0,9.6,0.6,27.2,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
27242086,0,0,0,0,4.6,5.06,3.25,5.5,0,0,0.4,26.9,C10,U120,PT,PT1,PT16,PT16E,Woodland,Broadleaved woodland,Forestry
27281742,0,0,0,0,7.1,7.23,49.2,17.3,3,100.4,1.7,372,B76,U111,PT,PT1,PT15,PT150,Cropland,Oranges,Agriculture (excluding fallow land and kitchen gardens)
27281760,0,0,0,0,6.9,7.25,17.41,7.7,8,4.1,0.8,42.4,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
27281838,0,0,0,0,7.2,7.39,12.7,9.3,4,36.8,1.1,402.8,B81,U111,PT,PT1,PT18,PT184,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27281850,0,0,0,0,4.5,5.26,4.92,6.6,1,18.5,0.7,99.5,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27281904,0,0,0,0,5,5.49,5.71,12.7,0,5.2,1.2,81.1,B15,U111,PT,PT1,PT18,PT181,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
27281940,0,0,0,0,4.9,5.46,3.66,11,0,6.6,0.9,61.7,C32,U120,PT,PT1,PT18,PT187,Woodland,Pine dominated mixed woodland,Forestry
27282072,0,0,0,0,5.4,5.87,5.12,7.9,0,6.1,0.8,127.1,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
27282102,0,0,0,0,4.2,4.89,3.01,10.3,0,4.4,0.8,22.5,C10,U120,PT,PT1,PT16,PT16E,Woodland,Broadleaved woodland,Forestry
27301972,0,0,0,0,4.5,5.11,3.78,15,0,11.1,1.1,29.8,E20,U111,PT,PT1,PT18,PT185,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27301980,0,0,0,0,5.9,6.38,3.86,5.7,0,0,0.4,21.7,C10,U120,PT,PT1,PT18,PT185,Woodland,Broadleaved woodland,Forestry
27302020,0,0,0,0,5.6,5.97,3.88,13.6,0,5.3,1.3,52.6,B81,U111,PT,PT1,PT16,PT16I,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27302044,0,0,0,0,3.1,4.08,6.81,56.7,28,11,2.1,37.6,C32,U120,PT,PT1,PT16,PT16I,Woodland,Pine dominated mixed woodland,Forestry
27321748,0,0,0,0,7,7.33,22.2,22.4,503,25.3,2.8,404.6,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27321784,0,0,0,0,5.1,5.52,6.37,11.7,0,9.2,1.3,48.1,F40,U111,PT,PT1,PT18,PT184,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
27322072,0,0,0,0,5.6,5.95,4.47,13.3,1,0,0.5,47,D10,U120,PT,PT1,PT16,PT16F,Shrubland,Shrubland with sparse tree cover,Forestry
27341880,0,0,0,0,6.7,6.95,9.37,16.2,0,26.7,1.6,126.4,B15,U111,PT,PT1,PT18,PT181,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
27341920,0,0,0,0,5.9,6.26,6.93,14.6,0,28.5,1.6,151.1,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27361828,0,0,0,0,6.4,6.56,14.42,39.9,2,11.4,3.3,191.1,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
27361846,0,0,0,0,7.2,7.63,14.47,9.6,42,19.5,0.9,269.1,B81,U111,PT,PT1,PT18,PT184,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27361930,0,0,0,0,4.8,5.35,4.01,13.4,0,9.5,1.5,125.1,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
27361954,0,0,0,0,4.8,5.23,2.86,5.8,0,0,0.5,23.3,E10,U111,PT,PT1,PT18,PT185,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27362062,0,0,0,0,3.8,4.5,13.66,24.3,0,12.4,2,39.6,C32,U120,PT,PT1,PT16,PT16F,Woodland,Pine dominated mixed woodland,Forestry
27381884,0,0,0,0,5.9,6.32,5.55,4.6,0,0,0.5,61,D10,U410,PT,PT1,PT18,PT187,Shrubland,Shrubland with sparse tree cover,Abandoned areas
27381902,0,0,0,0,4.7,5.18,4.03,16.7,0,17.4,1.7,92.3,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
27381916,0,0,0,0,4.7,5.21,12.33,28.3,0,9.2,2.2,120.2,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
27381926,0,0,0,0,5.7,5.99,7.82,13.2,0,7.6,1.2,52.2,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27382028,0,0,0,0,6.1,6.18,7.54,27.1,0,4.1,1.9,74.1,B81,U111,PT,PT1,PT16,PT16I,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27401804,0,0,0,0,5.4,5.57,5.17,8.3,0,12.1,1.2,40.3,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
27401840,0,0,0,0,7.4,7.76,17.61,12.3,21,14.5,1.2,361.9,B31,U111,PT,PT1,PT18,PT184,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
27402038,0,0,0,0,3.6,4.31,4.53,40.4,0,5.3,1.2,34.4,C32,U120,PT,PT1,PT16,PT16I,Woodland,Pine dominated mixed woodland,Forestry
27402128,0,0,0,0,4.7,5.29,2.9,3.3,0,5.5,0.2,12,C22,U120,PT,PT1,PT16,PT16E,Woodland,Pine dominated coniferous woodland,Forestry
27421740,0,0,0,0,7.6,7.96,14.74,18,363,4.4,1.5,237.9,C10,U120,PT,PT1,PT15,PT150,Woodland,Broadleaved woodland,Forestry
27421762,0,0,0,0,6.4,6.37,19.72,17.9,2,12.4,2,355.6,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
27421780,0,0,0,0,5.7,6.23,5.43,5.3,1,0,0.8,62.5,C22,U120,PT,PT1,PT15,PT150,Woodland,Pine dominated coniferous woodland,Forestry
27421902,0,0,0,0,5.1,5.51,10.15,25.5,0,25.5,2.5,125.2,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27422006,0,0,0,0,5.3,5.86,3.2,3.4,0,15.3,0.5,41.4,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
27422010,0,0,0,0,7.2,7.38,31,10.1,5,31.5,1.3,216.7,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
27461842,0,0,0,0,6.4,6.62,10.17,7.9,1,12.6,0.9,170.1,B31,U111,PT,PT1,PT18,PT184,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
27461868,0,0,0,0,4.7,5.32,5.75,9.7,0,9.8,1.1,80.2,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27461878,0,0,0,0,4.9,5.41,8.7,16.5,0,20.2,1.7,146.8,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
27461892,0,0,0,0,5,5.71,4.66,9.7,0,0,1,60.9,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
27462022,0,0,0,0,5,5.47,10.3,45.3,0,6.2,2.7,135.5,C10,U120,PT,PT1,PT16,PT16I,Woodland,Broadleaved woodland,Forestry
27462138,0,0,0,0,4.2,5,2.27,3.2,0,3.5,0.2,16.8,C22,U120,PT,PT1,PT16,PT16D,Woodland,Pine dominated coniferous woodland,Forestry
27481828,0,0,0,0,5.6,5.88,5.87,16.9,0,4.6,1.8,64,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
27481840,0,0,0,0,5.2,5.45,9.91,6.8,0,24.3,0.7,79.6,B31,U111,PT,PT1,PT18,PT184,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
27481894,0,0,0,0,4.6,5.19,4.66,20.2,0,11.7,2,72.5,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
27481972,0,0,0,0,6.4,6.66,9.85,7.8,2,7.7,0.6,31.3,C10,U120,PT,PT1,PT18,PT186,Woodland,Broadleaved woodland,Forestry
27482128,0,0,0,0,6.9,7.27,6.14,5.1,1,12.1,0.6,31.7,E20,U111,PT,PT1,PT16,PT16D,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27501780,0,0,0,0,5.7,6.06,3.1,5.9,0,4.4,0.9,66.6,B74,U111,PT,PT1,PT15,PT150,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
27501802,0,0,0,0,5.4,5.78,4.75,7.9,0,10.5,1.1,45.1,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27501892,0,0,0,0,4.8,5.45,4.93,9.3,0,9.5,1,32.8,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27521862,0,0,0,0,6.9,7.28,11.91,8.2,33,10.7,0.9,136.5,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27521880,0,0,0,0,6.9,7.36,12.06,20.8,13,4.9,2.3,96.1,B81,U111,PT,PT1,PT18,PT187,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
27522042,0,0,0,0,6.4,6.53,8.6,31.7,1,6.4,1.9,255.4,C10,U410,PT,PT1,PT16,PT16I,Woodland,Broadleaved woodland,Abandoned areas
27522096,0,0,0,0,7.1,7.36,22.4,12.8,42,110,1.6,71,B21,U113,PT,PT1,PT16,PT16E,Cropland,Potatoes,Kitchen gardens
27522114,0,0,0,0,4.5,5.05,3,9.5,0,0,0.5,18.3,C22,U120,PT,PT1,PT16,PT16E,Woodland,Pine dominated coniferous woodland,Forestry
27541756,0,0,0,0,5.1,5.94,3.69,15.6,0,4.6,1.6,145.2,D20,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland without tree cover,Abandoned areas
27541792,0,0,0,0,5.6,6.1,4.44,7,1,7.1,1.3,48.2,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27541810,0,0,0,0,5.4,6.01,6.55,19.2,0,10.8,2,75.9,C22,U120,PT,PT1,PT18,PT184,Woodland,Pine dominated coniferous woodland,Forestry
27541828,0,0,0,0,6.7,7,7.95,6.4,1,16.9,1,76.1,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27541930,0,0,0,0,5.4,5.82,3.89,10.1,1,0,1,76.8,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
27542110,0,0,0,0,7.7,8.04,15.71,10.4,449,5,1.3,209.3,B82,U111,PT,PT1,PT16,PT16E,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
27561764,0,0,0,0,5.9,6.05,9.97,35,0,11.9,2.8,188.4,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
27561812,0,0,0,0,6.3,6.63,34.1,9.1,1,7.1,1.2,39.9,B11,U111,PT,PT1,PT18,PT184,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
27561862,0,0,0,0,6,6.08,29.5,26.1,1,41.2,2.2,339.5,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27561920,0,0,0,0,5.6,6.02,9.4,16.2,0,11.4,1.8,83.3,E10,U111,PT,PT1,PT18,PT187,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
27561952,0,0,0,0,5.7,6.12,13.33,8.1,0,11,0.9,61,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
27561980,0,0,0,0,6.4,6.83,5.03,6.5,1,4.4,0.5,27.3,C10,U120,PT,PT1,PT18,PT185,Woodland,Broadleaved woodland,Forestry
27561988,0,0,0,0,4.5,5.26,10.91,38.1,0,10.3,2.5,77.8,C10,U120,PT,PT1,PT16,PT16I,Woodland,Broadleaved woodland,Forestry
27562118,0,0,0,0,5.7,5.99,8.75,17,0,71.5,1.5,47.3,B21,U111,PT,PT1,PT16,PT16D,Cropland,Potatoes,Agriculture (excluding fallow land and kitchen gardens)
27562136,0,0,0,0,4.4,4.95,10.22,22.2,0,78,1.8,63.8,C10,U120,PT,PT1,PT16,PT16D,Woodland,Broadleaved woodland,Forestry
27601758,0,0,0,0,5,5.7,3.57,12.3,0,6.9,1.7,95.4,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
27601790,0,0,0,0,6.1,6.32,9.19,17.1,0,20.2,2,162.2,E10,U120,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Forestry
27601794,0,0,0,0,5.8,6.12,6.15,12,2,6.9,1.3,139.8,C22,U120,PT,PT1,PT18,PT184,Woodland,Pine dominated coniferous woodland,Forestry
