"Point_ID,N,9,0","Coarse,N,9,0","Clay,N,9,0","Sand,N,9,0","Silt,N,9,0","pH_CaCl2,N,24,2","pH_H20,N,24,2","EC,N,24,2","OC,N,24,2","CaCO3,N,9,0","P,N,24,2","N,N,24,2","K,N,24,2","LC,C,80","LU,C,80","NUTS_0,C,80","NUTS_1,C,80","NUTS_2,C,80","NUTS_3,C,80","LC0_Desc,C,80","LC1_Desc,C,80","LU1_Desc,C,80"
33241828,0,0,0,0,7.7,8.33,13.09,8.5,82,15.5,0.8,257.9,B13,U111,ES,ES4,ES42,ES421,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33241858,0,0,0,0,7.6,8.15,17.09,16.9,364,25,1.1,142.7,F40,U112,ES,ES4,ES42,ES421,Bareland,Other bare soil,Fallow land
33242080,10,14,58,28,7.3,7.52,13.97,31.2,32,6.8,2.4,214.5,C10,U420,ES,ES4,ES42,ES424,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
33242196,13,14,55,32,7,7.59,13.78,16,53,0,1.2,77.2,D20,U318,ES,ES2,ES23,ES230,Shrubland,Shrubland without tree cover,Protection infrastructures
33242214,0,0,0,0,7.3,7.69,12.74,18.3,3,38.9,1.9,127.2,E30,U112,ES,ES2,ES23,ES230,Grassland,Spontaneously re-vegetated surfaces,Fallow land
33242254,0,0,0,0,7.4,7.96,11.77,9.4,81,44.1,1.2,85.6,B81,U111,ES,ES2,ES22,ES220,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
33242296,0,0,0,0,6.4,6.57,30.5,42.4,7,0,3.3,136.8,C22,U120,ES,ES2,ES21,ES212,Woodland,Pine dominated coniferous woodland,Forestry
33242902,0,0,0,0,5.2,5.58,37.8,87.5,3,69.6,7.6,193.1,C10,U111,FR,FRH,FRH0,FRH01,Woodland,Broadleaved woodland,Agriculture (excluding fallow land and kitchen gardens)
33261816,0,0,0,0,7.8,8.5,13.74,10.6,44,6.7,0.5,201.3,B12,U111,ES,ES4,ES42,ES421,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens)
33261874,0,0,0,0,7.6,8.17,14.02,4.3,248,16.4,0.8,190.8,B13,U111,ES,ES4,ES42,ES421,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33261950,33,11,55,34,6.4,6.52,8.45,26.5,1,5.7,1.8,151.1,C32,U120,ES,ES4,ES42,ES423,Woodland,Pine dominated mixed woodland,Forestry
33261978,41,14,21,66,7.1,7.2,38.1,148.9,139,7.7,4.9,121.6,C22,U120,ES,ES4,ES42,ES423,Woodland,Pine dominated coniferous woodland,Forestry
33262018,25,33,21,47,7.5,7.96,13.92,32.7,130,5.9,1.5,246.3,D10,U420,ES,ES4,ES42,ES424,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
33262036,15,23,20,57,7.1,7.35,16.8,77,45,11.8,7.9,858.2,C23,U420,ES,ES4,ES42,ES424,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
33262054,9,8,76,16,4.7,5.34,3.8,4.9,0,43.5,0.6,98.4,F40,U112,ES,ES4,ES42,ES424,Bareland,Other bare soil,Fallow land
33262086,29,23,19,58,7.3,7.63,15.26,38.6,142,4.1,3.8,369.2,D20,U420,ES,ES2,ES24,ES243,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
33262130,31,31,30,39,7.3,7.64,23.2,16.6,465,23,1.8,308.1,E20,U111,ES,ES2,ES24,ES243,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33262144,25,21,49,30,4.3,4.62,12.62,9.3,0,26.4,1.2,76.4,B11,U111,ES,ES4,ES41,ES417,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33262184,0,0,0,0,7.8,8.19,25.5,20.9,214,29.5,2,216.6,B74,U111,ES,ES2,ES23,ES230,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
33262202,0,0,0,0,7.9,8.45,18.63,6.6,80,19.8,0.5,273.1,B73,U111,ES,ES2,ES23,ES230,Cropland,Cherry fruit,Agriculture (excluding fallow land and kitchen gardens)
33262230,0,0,0,0,7.3,7.39,242,33.3,178,76.9,3,707,F40,U111,ES,ES2,ES22,ES220,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
33262270,0,0,0,0,4.6,4.89,29.6,29.5,0,8.7,2.4,117,C10,U120,ES,ES2,ES22,ES220,Woodland,Broadleaved woodland,Forestry
33262842,0,0,0,0,4.9,5.13,76.1,43.9,0,53,4.9,501.6,E20,U111,FR,FRH,FRH0,FRH04,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33262896,0,0,0,0,4.8,5.16,21.7,17.6,0,31.5,2.3,124.6,B11,U111,FR,FRH,FRH0,FRH01,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33263602,0,0,0,0,6.2,6.5,21.2,18.5,0,21.9,2.2,119.3,B13,U111,UK,UKN,UKN0,UKN09,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33281826,0,0,0,0,7.7,8.36,14.22,9.6,274,24.5,0.8,137.6,B13,U111,ES,ES4,ES42,ES421,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33281952,45,12,37,51,7,7.26,24.1,118.8,422,15.6,6.9,286.9,C32,U120,ES,ES4,ES42,ES423,Woodland,Pine dominated mixed woodland,Forestry
33281970,10,7,78,15,5.8,6.1,9.65,6.6,0,0,0.4,30.8,C22,U120,ES,ES4,ES42,ES423,Woodland,Pine dominated coniferous woodland,Forestry
33282024,21,25,31,44,6.8,7.03,8.03,19.7,0,21.2,2.1,138.5,B11,U111,ES,ES4,ES42,ES424,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33282060,19,41,23,36,7.2,7.78,16.04,23.2,71,58.4,2.5,675.4,B13,U111,ES,ES4,ES42,ES424,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33282078,21,32,38,30,7.3,7.84,18.81,8.6,295,19.6,1.1,202.2,B13,U111,ES,ES2,ES24,ES243,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33282136,48,24,26,50,7.2,7.73,14.1,38.1,386,4.2,3.7,169.4,D10,U420,ES,ES4,ES41,ES417,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
33282150,36,24,35,41,5.4,5.68,26.9,26.3,1,35.6,2.1,107,F40,U112,ES,ES4,ES41,ES417,Bareland,Other bare soil,Fallow land
33282222,0,0,0,0,7.8,8.35,18.45,3.5,330,16.6,0.8,119.2,B82,U111,ES,ES2,ES22,ES220,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
33282856,0,0,0,0,4.5,4.89,22,26.7,0,16.3,3,56.4,E20,U361,FR,FRH,FRH0,FRH04,Grassland,Grassland without tree/shrub cover,"Amenities, museum, leisure (e.g. parks, botanical gardens)"
33283122,23,23,29,48,6,6.2,27,34.1,1,15.9,4.2,34.4,B53,U111,UK,UKK,UKK4,UKK43,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens)
33283288,0,0,0,0,5.3,5.6,336,118.7,1,38,10.3,439.1,E20,U111,UK,UKL,UKL1,UKL14,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33283306,0,0,0,0,4.5,4.68,64.1,51.8,0,35.5,5.1,67.7,E20,U111,UK,UKL,UKL1,UKL14,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33301706,0,0,0,0,7.7,8,46.5,12.7,341,7.7,0.9,387,E20,U410,ES,ES6,ES62,ES620,Grassland,Grassland without tree/shrub cover,Abandoned areas
33301858,0,0,0,0,7.5,8.15,15.37,2.6,465,7.2,0.7,145.9,B81,U111,ES,ES4,ES42,ES421,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
33301954,10,12,60,29,6.9,7.12,21,15.4,1,0,1.3,150.5,C10,U120,ES,ES4,ES42,ES423,Woodland,Broadleaved woodland,Forestry
33301984,67,35,16,49,7.5,7.64,55.2,37.7,104,6.2,3.6,389,C22,U420,ES,ES4,ES42,ES423,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use
33302056,15,28,28,44,7.1,7.79,12.43,12.7,49,23.9,1.5,168.5,B11,U111,ES,ES4,ES42,ES424,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33302062,23,16,46,38,6,6.24,8.64,13.4,1,45.9,1.5,110.7,B14,U111,ES,ES4,ES42,ES424,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
33302074,14,17,22,61,7.4,7.73,19.97,76.6,329,9.1,5.8,165.5,C10,U420,ES,ES4,ES42,ES424,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
33302080,28,22,33,45,7.5,7.88,16.15,28.4,575,5.4,3,421.9,D10,U420,ES,ES2,ES24,ES243,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
33302218,0,0,0,0,7.8,8.41,21.7,10.1,255,39,0.8,244.4,B82,U111,ES,ES2,ES23,ES230,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
33302242,0,0,0,0,7.2,7.92,16.99,20.4,299,25.5,1.3,78.2,B11,U111,ES,ES2,ES22,ES220,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33302890,0,0,0,0,4.7,5.06,25.4,27.4,0,71,3.4,211.6,B11,U111,FR,FRH,FRH0,FRH01,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33303172,3,24,20,56,4.8,5.24,18.41,51.9,1,13.1,5,149.8,C10,U111,UK,UKK,UKK4,UKK43,Woodland,Broadleaved woodland,Agriculture (excluding fallow land and kitchen gardens)
33321782,0,0,0,0,7.8,7.72,165.8,22.6,256,28.1,2,866,E30,U112,ES,ES6,ES62,ES620,Grassland,Spontaneously re-vegetated surfaces,Fallow land
33321866,0,0,0,0,7.5,8.12,16.71,10.6,340,19.1,1,135.8,F40,U112,ES,ES4,ES42,ES421,Bareland,Other bare soil,Fallow land
33321944,36,27,21,52,7.2,7.52,20.5,73.1,62,3.5,4.3,572.3,C22,U120,ES,ES4,ES42,ES423,Woodland,Pine dominated coniferous woodland,Forestry
33321992,27,18,38,44,7.3,7.66,16.76,34.1,363,7.3,2,179.9,C22,U420,ES,ES2,ES24,ES242,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use
33322024,15,12,68,20,7.6,8.1,9.86,15.4,181,0,0.7,85.6,B11,U111,ES,ES4,ES42,ES424,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33322034,12,27,42,31,7.6,8.03,13.83,11.1,177,33.8,1.3,241.5,B54,U111,ES,ES4,ES42,ES424,Cropland,Mix of cereals,Agriculture (excluding fallow land and kitchen gardens)
33322042,20,38,21,41,7.6,8,18.35,15.7,503,31,1,524.9,B31,U111,ES,ES4,ES42,ES424,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
33322052,23,8,75,17,4.4,4.71,3.58,3.9,0,38.3,0.4,28.1,B11,U111,ES,ES4,ES42,ES424,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33322114,0,0,0,0,7.4,7.86,29.9,17.3,82,22.7,2.1,313.1,F40,U112,ES,ES2,ES24,ES243,Bareland,Other bare soil,Fallow land
33322186,13,24,19,57,7.5,8.08,16.41,12.7,442,4.1,2,88.6,D20,U111,ES,ES2,ES23,ES230,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
33322268,0,0,0,0,4.7,5.03,28.3,60.2,0,9.5,4.3,227.1,C10,U120,ES,ES2,ES22,ES220,Woodland,Broadleaved woodland,Forestry
33322280,0,0,0,0,4.3,5.33,4.51,23.5,0,5.1,1.7,330.1,C10,U120,ES,ES2,ES22,ES220,Woodland,Broadleaved woodland,Forestry
33322304,0,0,0,0,6.1,6.37,38.5,40.1,1,15.1,5,117.8,C21,U120,ES,ES2,ES21,ES212,Woodland,Spruce dominated coniferous woodland,Forestry
33322870,0,0,0,0,6,6.24,27.8,47.2,0,116.3,4.6,1061,E20,U111,FR,FRH,FRH0,FRH04,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33322888,0,0,0,0,4.3,4.68,29,29.4,0,36.6,4,125.5,B55,U111,FR,FRH,FRH0,FRH01,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
33322924,0,0,0,0,4,4.28,28.8,24.2,0,18.2,2.4,41.7,E20,U111,FR,FRH,FRH0,FRH01,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33323140,12,13,28,59,4,4.27,87.3,103.8,1,37.6,9,216.5,E20,U111,UK,UKK,UKK4,UKK43,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33323302,0,0,0,0,4.9,5.22,96,83.8,0,64,7.3,261.2,E20,U111,UK,UKL,UKL1,UKL14,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33341696,0,0,0,0,7.6,8.02,50.2,6.3,331,80.5,1.5,624.5,E30,U410,ES,ES6,ES62,ES620,Grassland,Spontaneously re-vegetated surfaces,Abandoned areas
33341814,0,0,0,0,7.7,8.23,32,10.9,525,89.3,0.9,422.7,B13,U111,ES,ES4,ES42,ES421,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33341832,0,0,0,0,7.5,8.06,19.47,10.2,199,25,1.1,411,C10,U120,ES,ES4,ES42,ES421,Woodland,Broadleaved woodland,Forestry
33341912,32,16,36,48,7.3,7.7,20.1,52.5,519,11.2,3.6,248.7,C22,U420,ES,ES4,ES42,ES423,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use
33341918,26,28,23,49,7.5,7.91,18.59,32.6,275,29,3.4,352.7,B13,U111,ES,ES4,ES42,ES423,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33341966,30,19,26,55,7.4,7.62,35.6,89.5,282,8.6,4.8,693,C32,U120,ES,ES4,ES42,ES423,Woodland,Pine dominated mixed woodland,Forestry
33341990,6,23,49,28,6.9,7.19,13.21,10.7,1,5.4,1.2,134.1,E30,U111,ES,ES2,ES24,ES242,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
33342026,23,20,35,45,7.3,7.76,16.39,38.9,261,6.5,2.4,230.8,C22,U420,ES,ES4,ES42,ES424,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use
